NUMERO_SITE,NO_VGE,GEO1,GEO2,STATUT,BENNE,MODELE_BENNE,COMMUNE,ADDRESSE,HORAIRES,RIVE,TYPE_CENTRE,PHOTO,PAPIER,VERRE,PET,PET_CONTENEURS,ALU,FER,FER_ALU,CAPSULE_CAFE,PILE,TEXTILE,HUILE_MINERALE,HUILE_VEGETALE,DECHET_ENCOMBRANT,FERRAILLE,GRAVAT,MATIERE_INERTE,MAT_INCINERABLE,BRANCHE,FRIGO,SPECIAUX_MENAGER,ORDURE_MENAGERE,DECHETS_CUISINE,DECHETS_JARDINS,DECHETS_ORGANIQUES,AUTRE_DECHET,SHAPE.AREA,SHAPE.LEN
06-025,,46.257202,6.145297,Existante,En surface,800lt,Bellevue,"ch. de la mojonne, Geneva	",,Droite,Communal,,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,28.32039936,21.5730033521117
40-001,,46.187156,6.012945,Existante,En surface,Non renseigné,Russin,"Chemin de la croix-de-plomb 10, Geneva",,Droite,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,11.77736192,14.1234510128741
35-004,,46.155717,6.09247,Existante,En surface,Non renseigné,Perly-certoux,"Route de certoux 35, Geneva	",,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Perly/site_35-004.JPG,,,,,,,,,,Oui,,,,,,,,,,,,,,,,5.45652736,9.393362986005389
05-003,,46.1525,6.118333,Existante,Enterrée,Non renseigné,Bardonnex,"Compesieres, Geneva	",,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Bardonnex/site_05-003.JPG,,Oui,Oui,,,,Oui,,,,,,,,,,,,,,Oui,Oui,Oui,,,58.90113536,31.0639278006206
18-013,,46.173959,6.085223,Existante,En surface,Non renseigné,Confignon,"Route de soral 13, Geneva	",,Gauche,Communal,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,3.76733696,7.76868700347209
17-005,,46.198392,6.142296,Existante,Enterrée,Non renseigné,Cologny,"Immeuble frank-thomas, Geneva	",,Gauche,Communal,,Oui,Oui,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,49.46362368,28.5438412691677
26-002,,46.235219,6.121151,Existante,En surface,Non renseigné,Grand-saconnex,"Impasse colombelle 12, Geneva",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,,Oui,Oui,,,,Oui,,Solvants-électricité-ordis,400.06189056,139.52691602861302
26-012,,46.232246,6.123819,Existante,Enterrée,Non renseigné,Grand-saconnex,"Route de ferney 165, Geneva	",,Droite,Privé,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,26.84305408,20.794612860745
27-002,,46.25126,6.255642,Existante,En surface,Non renseigné,Gy,"Route de gy  130, Geneva",24h/24h,Gauche,Communal,,Oui,Oui,Oui,,Oui,Oui,,Oui,,,,,,,,,,,,,,,,,,27.55657728,21.410074292744397
32-007,,46.245434,6.224189,Existante,Enterrée,Non renseigné,Meinier,"Chemin des pralys 6, Geneva",,Gauche,Communal,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,20.67759104,19.8273904204682
29-005,,46.227665,6.257136,Existante,En surface,Non renseigné,Jussy,"Route de lullier 26, Geneva",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,Oui,,Oui,,,7.4865664,13.2870680295703
06-022,,46.258418,6.148086,Existante,Enterrée,800lt,Bellevue,"Chemin de l'oree 1, Geneva	",,Droite,Communal,,Oui,Oui,,,,,,,,,,,,,,,,,,,Oui,,,,,7.64731392,11.1044819330866
33-011,,46.229137,6.076923,Existante,En surface,,Meyrin,"Rue de la golette, Geneva",,Droite,Communal,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,Oui,,43.7911552,33.9682166437119
33-055,,46.226186,6.066017,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Ch. edmond-rochat 38, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,Oui,Oui,,,,,,,,,,,,Oui,Oui,Oui,,,23.81316096,28.853988225006002
13-005,,46.196066,6.19439,Existante,Enterrée,Non renseigné,Chêne-bourg,"Rue dr-georges-audeoud, Geneva	",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,5.23931648,11.012299631684199
36-022,,46.199956,6.131767,Existante,Enterrée,Sulo,Plan-les-ouates,"Route du velodrome 84, Geneva",Lu-ve 8h-20h di fermé,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-022.JPG,Oui,Oui,,,,,,,,,,,,,,,,,,,Oui,,,,,19.37833984,21.165360719611698
36-020,,46.171996,6.107987,Existante,En surface,Sulo ext.,Plan-les-ouates,"Chemin des petites-fontaines, Geneva",Lu-ve 8h-20h di fermé,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-020.JPG,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,5.55843584,9.58371913872229
31-020,,46.175708,6.120649,Existante,Enterrée,Viliger,Lancy,"Chemin des pallettes 15, Geneva",8h-20h,Gauche,Communal,,Oui,Oui,Oui,,Oui,,,Oui,Oui,Oui,,,,,,,,,,,Oui,,,,,38.92772864,27.7736594069623
31-024,,46.180326,6.118555,Existante,Enterrée,Villiger,Lancy,"Avenue cure-baud 14, Geneva",8h-20h,Gauche,Communal,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,7.91517184,11.880800855255698
31-019,,46.198392,6.142296,Existante,En surface,Non renseigné,Lancy,"Centre commercial lancy centre, Geneva	",,Gauche,Communal,,,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,7.80406784,12.9486766399313
31-009,,46.173537,6.121219,Existante,Enterrée,Viliger,Lancy,"Avenue des communes-reunies 60, Geneva",8h-20h,Gauche,Communal,,Oui,Oui,Oui,,Oui,,,Oui,Oui,Oui,,,,,,,,,,,,,,,,25.96028416,24.419315483565697
31-008,,46.22152,6.1307,Existante,Enterrée,Viliger,Lancy,"Chemin des vignes, Geneva",8h-20h,Gauche,Communal,,Oui,Oui,Oui,,Oui,,,Oui,Oui,Oui,,,,,,,,,,,Oui,,,Oui,,23.3684992,19.737441883891
04-006,,46.146323,6.001403,Existante,Enterrée,Non renseigné,Avusy,"Route du creux-du-loup, Geneva	",,Gauche,Communal,,,,,,,,,,,,,,,,,,,Oui,,,,,,Oui,,4.3180032,8.65580607319793
48-017,,49.373399,0.100695,Existante,Enterrée,Non renseigné,Veyrier,"Chemin vert 14 / rue de la-tambourine 72, Geneva	",,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Veyrier/site_48-017.JPG,Oui,Oui,Oui,,Oui,,,,Oui,Oui,,,,,,,,,,,Oui,,,Oui,,199.98849024,50.19475469837229
